group,text,label
topic:Transposition of the great arteries,what causes transposition of the great arteries ?,RETRIEVE_KNOWLEDGE
"topic:Ohdo syndrome, Maat-Kievit-Brunner type","what is (are) ohdo syndrome, maat-kievit-brunner type ?",RETRIEVE_KNOWLEDGE
topic:Renal nutcracker syndrome,how to diagnose renal nutcracker syndrome ?,RETRIEVE_KNOWLEDGE
topic:Langerhans cell histiocytosis,is langerhans cell histiocytosis inherited ?,RETRIEVE_KNOWLEDGE
topic:Hereditary Neuropathies,what is the outlook for hereditary neuropathies ?,RETRIEVE_KNOWLEDGE
topic:osteogenesis imperfecta,what are the genetic changes related to osteogenesis imperfecta ?,RETRIEVE_KNOWLEDGE
topic:Colon Cancer,what research (or clinical trials) is being done for colon cancer ?,RETRIEVE_KNOWLEDGE
topic:AIDS-Related Lymphoma,what are the stages of aids-related lymphoma ?,RETRIEVE_KNOWLEDGE
topic:Paresthesia,what research (or clinical trials) is being done for paresthesia ?,RETRIEVE_KNOWLEDGE
topic:Dysgraphia,what research (or clinical trials) is being done for dysgraphia ?,RETRIEVE_KNOWLEDGE
topic:Neonatal adrenoleukodystrophy,what are the symptoms of neonatal adrenoleukodystrophy ?,RETRIEVE_KNOWLEDGE
topic:Spinocerebellar ataxia 23,what are the symptoms of spinocerebellar ataxia 23 ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Sever,"what are the symptoms of severe combined immunodeficiency, atypical ?",RETRIEVE_KNOWLEDGE
topic:Sakati syndrome,what are the symptoms of sakati syndrome ?,RETRIEVE_KNOWLEDGE
topic:Self-harm,what is (are) self-harm ?,RETRIEVE_KNOWLEDGE
topic:Asperger Syndrome,what is (are) asperger syndrome ?,RETRIEVE_KNOWLEDGE
topic:sialidosis,is sialidosis inherited ?,RETRIEVE_KNOWLEDGE
topic:Cyclic Vomiting Syndrome,what to do for cyclic vomiting syndrome ?,RETRIEVE_KNOWLEDGE
topic:Male Breast Cancer,what are the treatments for male breast cancer ?,RETRIEVE_KNOWLEDGE
topic:Emanuel syndrome,what is (are) emanuel syndrome ?,RETRIEVE_KNOWLEDGE
topic:Nicolaides-Baraitser syndrome,what causes nicolaides-baraitser syndrome ?,RETRIEVE_KNOWLEDGE
topic:Odontomicronychial dysplasia,what are the symptoms of odontomicronychial dysplasia ?,RETRIEVE_KNOWLEDGE
topic:Sandhoff disease,how many people are affected by sandhoff disease ?,RETRIEVE_KNOWLEDGE
topic:Sickle Cell Disease,what causes sickle cell disease ?,RETRIEVE_KNOWLEDGE
topic:Fibrolamellar carcinoma,how to diagnose fibrolamellar carcinoma ?,RETRIEVE_KNOWLEDGE
topic:Emery-Dreifuss muscular dystrophy,is emery-dreifuss muscular dystrophy inherited ?,RETRIEVE_KNOWLEDGE
topic:Epilepsy progressive myoclonic type 3,what are the symptoms of epilepsy progressive myoclonic type 3 ?,RETRIEVE_KNOWLEDGE
topic:Limb-girdle muscular dystrophy type 2H,what are the symptoms of limb-girdle muscular dystrophy type 2h ?,RETRIEVE_KNOWLEDGE
topic:Schizencephaly,what is (are) schizencephaly ?,RETRIEVE_KNOWLEDGE
topic:mevalonate kinase deficiency,what are the genetic changes related to mevalonate kinase deficiency ?,RETRIEVE_KNOWLEDGE
topic:propionic acidemia,what are the genetic changes related to propionic acidemia ?,RETRIEVE_KNOWLEDGE
topic:neuromyelitis optica,what are the treatments for neuromyelitis optica ?,RETRIEVE_KNOWLEDGE
topic:Malignant eccrine spiradenoma,what are the treatments for malignant eccrine spiradenoma ?,RETRIEVE_KNOWLEDGE
topic:Giant axonal neuropathy,what are the symptoms of giant axonal neuropathy ?,RETRIEVE_KNOWLEDGE
topic:Microgastria limb reduction defect,what is (are) microgastria limb reduction defect ?,RETRIEVE_KNOWLEDGE
topic:What to do for What I need to ,what to do for what i need to know about preparing for pregnancy if i have diabetes ?,RETRIEVE_KNOWLEDGE
topic:High Blood Cholesterol,what is (are) high blood cholesterol ?,RETRIEVE_KNOWLEDGE
topic:recombinant 8 syndrome,what is (are) recombinant 8 syndrome ?,RETRIEVE_KNOWLEDGE
topic:Familial stomach cancer,what is (are) familial stomach cancer ?,RETRIEVE_KNOWLEDGE
topic:Muscle Cramps,what is (are) muscle cramps ?,RETRIEVE_KNOWLEDGE
topic:Hematuria (Blood in the Urine),what are the symptoms of hematuria (blood in the urine) ?,RETRIEVE_KNOWLEDGE
topic:what is cdc doing to address v,what is cdc doing to address visa and vrsa?,RETRIEVE_KNOWLEDGE
topic:Cushing disease,is cushing disease inherited ?,RETRIEVE_KNOWLEDGE
topic:Wildervanck syndrome,what causes wildervanck syndrome ?,RETRIEVE_KNOWLEDGE
topic:prolidase deficiency,how many people are affected by prolidase deficiency ?,RETRIEVE_KNOWLEDGE
topic:supravalvular aortic stenosis,is supravalvular aortic stenosis inherited ?,RETRIEVE_KNOWLEDGE
topic:fibrochondrogenesis,what are the genetic changes related to fibrochondrogenesis ?,RETRIEVE_KNOWLEDGE
topic:Leber congenital amaurosis,what are the genetic changes related to leber congenital amaurosis ?,RETRIEVE_KNOWLEDGE
topic:Heart Murmur,what are the symptoms of heart murmur ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Neutr,what are the symptoms of neutropenia lethal congenital with eosinophilia ?,RETRIEVE_KNOWLEDGE
topic:spinal muscular atrophy,how many people are affected by spinal muscular atrophy ?,RETRIEVE_KNOWLEDGE
topic:What is (are) phosphoribosylpy,what is (are) phosphoribosylpyrophosphate synthetase superactivity ?,RETRIEVE_KNOWLEDGE
topic:focal dermal hypoplasia,how many people are affected by focal dermal hypoplasia ?,RETRIEVE_KNOWLEDGE
topic:Roberts syndrome,what are the treatments for roberts syndrome ?,RETRIEVE_KNOWLEDGE
topic:oculodentodigital dysplasia,what are the genetic changes related to oculodentodigital dysplasia ?,RETRIEVE_KNOWLEDGE
topic:Parasites - Echinococcosis,who is at risk for parasites - echinococcosis? ?,RETRIEVE_KNOWLEDGE
topic:Choroideremia,what are the symptoms of choroideremia ?,RETRIEVE_KNOWLEDGE
topic:Anemia in Chronic Kidney Disease,how to diagnose anemia in chronic kidney disease ?,RETRIEVE_KNOWLEDGE
topic:C3 glomerulopathy,what is (are) c3 glomerulopathy ?,RETRIEVE_KNOWLEDGE
topic:Trismus-pseudocamptodactyly syndrome,what are the treatments for trismus-pseudocamptodactyly syndrome ?,RETRIEVE_KNOWLEDGE
topic:What is (are) ZAP70-related se,what is (are) zap70-related severe combined immunodeficiency ?,RETRIEVE_KNOWLEDGE
topic:Corneal endothelial dystrophy type 2,what are the symptoms of corneal endothelial dystrophy type 2 ?,RETRIEVE_KNOWLEDGE
topic:Apocrine carcinoma,what is (are) apocrine carcinoma ?,RETRIEVE_KNOWLEDGE
topic:Czech dysplasia,what are the treatments for czech dysplasia ?,RETRIEVE_KNOWLEDGE
topic:Seniors' Health,do you have information about seniors' health,RETRIEVE_KNOWLEDGE
topic:Periventricular heterotopia,what are the symptoms of periventricular heterotopia ?,RETRIEVE_KNOWLEDGE
topic:Autosomal recessive hyper IgE syndrome,what is (are) autosomal recessive hyper ige syndrome ?,RETRIEVE_KNOWLEDGE
topic:Schindler disease,what are the treatments for schindler disease ?,RETRIEVE_KNOWLEDGE
topic:Liposarcoma,what is (are) liposarcoma ?,RETRIEVE_KNOWLEDGE
topic:What is the outlook for Childh,what is the outlook for childhood central nervous system germ cell tumors ?,RETRIEVE_KNOWLEDGE
topic:Prothrombin thrombophilia,what is (are) prothrombin thrombophilia ?,RETRIEVE_KNOWLEDGE
topic:ring chromosome 14 syndrome,is ring chromosome 14 syndrome inherited ?,RETRIEVE_KNOWLEDGE
topic:Stroke,what is (are) stroke ?,RETRIEVE_KNOWLEDGE
topic:Fires,do you have information about fires,RETRIEVE_KNOWLEDGE
topic:familial erythrocytosis,is familial erythrocytosis inherited ?,RETRIEVE_KNOWLEDGE
topic:Occipital horn syndrome,what is (are) occipital horn syndrome ?,RETRIEVE_KNOWLEDGE
topic:Renpenning syndrome,how many people are affected by renpenning syndrome ?,RETRIEVE_KNOWLEDGE
topic:Ovarian Cancer,what is (are) ovarian cancer ?,RETRIEVE_KNOWLEDGE
topic:Pyruvate kinase deficiency,how to diagnose pyruvate kinase deficiency ?,RETRIEVE_KNOWLEDGE
topic:Nonalcoholic steatohepatitis,what is (are) nonalcoholic steatohepatitis ?,RETRIEVE_KNOWLEDGE
topic:Liver (Hepatocellular) Cancer,what research (or clinical trials) is being done for liver (hepatocellular) cancer ?,RETRIEVE_KNOWLEDGE
topic:Hemangioma thrombocytopenia syndrome,what is (are) hemangioma thrombocytopenia syndrome ?,RETRIEVE_KNOWLEDGE
topic:Spastic paraplegia 26,what are the symptoms of spastic paraplegia 26 ?,RETRIEVE_KNOWLEDGE
topic:permanent neonatal diabetes mellitus,what are the treatments for permanent neonatal diabetes mellitus ?,RETRIEVE_KNOWLEDGE
topic:What are the treatments for ce,what are the treatments for cerebral autosomal recessive arteriopathy with subcortical infarcts and leukoencephalopathy ?,RETRIEVE_KNOWLEDGE
topic:Neuronal ceroid lipofuscinosis 10,what are the symptoms of neuronal ceroid lipofuscinosis 10 ?,RETRIEVE_KNOWLEDGE
topic:Paraneoplastic cerebellar degeneration,what is (are) paraneoplastic cerebellar degeneration ?,RETRIEVE_KNOWLEDGE
topic:What is (are) Microscopic Coli,what is (are) microscopic colitis: collagenous colitis and lymphocytic colitis ?,RETRIEVE_KNOWLEDGE
topic:Wolfram syndrome,what are the genetic changes related to wolfram syndrome ?,RETRIEVE_KNOWLEDGE
topic:Kienbock's disease,what are the treatments for kienbock's disease ?,RETRIEVE_KNOWLEDGE
topic:Paroxysmal extreme pain disorder,what are the symptoms of paroxysmal extreme pain disorder ?,RETRIEVE_KNOWLEDGE
topic:hereditary pancreatitis,what are the treatments for hereditary pancreatitis ?,RETRIEVE_KNOWLEDGE
topic:Bipolar Disorder,what is (are) bipolar disorder ?,RETRIEVE_KNOWLEDGE
topic:Hypoglycemia,what are the treatments for hypoglycemia ?,RETRIEVE_KNOWLEDGE
topic:Williams syndrome,how many people are affected by williams syndrome ?,RETRIEVE_KNOWLEDGE
topic:Cramp-fasciculation syndrome,what are the symptoms of cramp-fasciculation syndrome ?,RETRIEVE_KNOWLEDGE
topic:Bone Grafts,do you have information about bone grafts,RETRIEVE_KNOWLEDGE
topic:Pseudohypoaldosteronism type 2,what are the treatments for pseudohypoaldosteronism type 2 ?,RETRIEVE_KNOWLEDGE
topic:Cavernous Malformation,what research (or clinical trials) is being done for cavernous malformation ?,RETRIEVE_KNOWLEDGE
topic:Electrocardiogram,who is at risk for electrocardiogram? ?,RETRIEVE_KNOWLEDGE
topic:cardiofaciocutaneous syndrome,what are the treatments for cardiofaciocutaneous syndrome ?,RETRIEVE_KNOWLEDGE
topic:Noonan syndrome,what are the treatments for noonan syndrome ?,RETRIEVE_KNOWLEDGE
topic:Respiratory Failure,what are the symptoms of respiratory failure ?,RETRIEVE_KNOWLEDGE
topic:Menkes syndrome,what is (are) menkes syndrome ?,RETRIEVE_KNOWLEDGE
topic:Polymyalgia Rheumatica,what is (are) polymyalgia rheumatica ?,RETRIEVE_KNOWLEDGE
topic:Werner syndrome,what are the genetic changes related to werner syndrome ?,RETRIEVE_KNOWLEDGE
topic:Norum disease,what causes norum disease ?,RETRIEVE_KNOWLEDGE
topic:Cerebellar degeneration,is cerebellar degeneration inherited ?,RETRIEVE_KNOWLEDGE
topic:Monkeypox Virus Infections,what is (are) monkeypox virus infections ?,RETRIEVE_KNOWLEDGE
topic:MTHFR gene mutation,how to diagnose mthfr gene mutation ?,RETRIEVE_KNOWLEDGE
topic:Troyer Syndrome,what are the treatments for troyer syndrome ?,RETRIEVE_KNOWLEDGE
topic:Parasites - Lymphatic Filariasis,how to diagnose parasites - lymphatic filariasis ?,RETRIEVE_KNOWLEDGE
topic:What are the symptoms of Perio,"what are the symptoms of periodic fever, aphthous stomatitis, pharyngitis and adenitis ?",RETRIEVE_KNOWLEDGE
topic:What is (are) Parasites - Cycl,what is (are) parasites - cyclosporiasis (cyclospora infection) ?,RETRIEVE_KNOWLEDGE
topic:Is aromatic l-amino acid decar,is aromatic l-amino acid decarboxylase deficiency inherited ?,RETRIEVE_KNOWLEDGE
topic:polycystic kidney disease,what is (are) polycystic kidney disease ?,RETRIEVE_KNOWLEDGE
topic:X-linked creatine deficiency,what are the symptoms of x-linked creatine deficiency ?,RETRIEVE_KNOWLEDGE
topic:What are the treatments for Wh,what are the treatments for what i need to know about interstitial cystitis/painful bladder syndrome ?,RETRIEVE_KNOWLEDGE
topic:ring chromosome 20 syndrome,is ring chromosome 20 syndrome inherited ?,RETRIEVE_KNOWLEDGE
topic:juvenile myoclonic epilepsy,how many people are affected by juvenile myoclonic epilepsy ?,RETRIEVE_KNOWLEDGE
topic:Inguinal Hernia,what are the treatments for inguinal hernia ?,RETRIEVE_KNOWLEDGE
topic:What is (are) Hereditary cereb,what is (are) hereditary cerebral hemorrhage with amyloidosis ?,RETRIEVE_KNOWLEDGE
topic:Parsonage Turner syndrome,how to diagnose parsonage turner syndrome ?,RETRIEVE_KNOWLEDGE
topic:leukocyte adhesion deficiency type 1,what are the genetic changes related to leukocyte adhesion deficiency type 1 ?,RETRIEVE_KNOWLEDGE
topic:What are the treatments for Hy,what are the treatments for hydrocephalus due to congenital stenosis of aqueduct of sylvius ?,RETRIEVE_KNOWLEDGE
topic:Thoracic Outlet Syndrome,what are the treatments for thoracic outlet syndrome ?,RETRIEVE_KNOWLEDGE
topic:Exercise for Children,do you have information about exercise for children,RETRIEVE_KNOWLEDGE
topic:Leukodystrophy,what is (are) leukodystrophy ?,RETRIEVE_KNOWLEDGE
topic:Giant Axonal Neuropathy,what research (or clinical trials) is being done for giant axonal neuropathy ?,RETRIEVE_KNOWLEDGE
topic:Hypothalamic hamartomas,what are the symptoms of hypothalamic hamartomas ?,RETRIEVE_KNOWLEDGE
topic:Geroderma osteodysplastica,what are the symptoms of geroderma osteodysplastica ?,RETRIEVE_KNOWLEDGE
topic:What is (are) megalencephaly-c,what is (are) megalencephaly-capillary malformation syndrome ?,RETRIEVE_KNOWLEDGE
topic:20p12.3 microdeletion syndrome,what are the symptoms of 20p12.3 microdeletion syndrome ?,RETRIEVE_KNOWLEDGE
"topic:Ichthyosis, acquired","what are the symptoms of ichthyosis, acquired ?",RETRIEVE_KNOWLEDGE
topic:Wilson Disease,what is (are) wilson disease ?,RETRIEVE_KNOWLEDGE
topic:Restless Legs,what is (are) restless legs ?,RETRIEVE_KNOWLEDGE
topic:myoclonus-dystonia,how many people are affected by myoclonus-dystonia ?,RETRIEVE_KNOWLEDGE
topic:Tracheal Disorders,what is (are) tracheal disorders ?,RETRIEVE_KNOWLEDGE
topic:Geniospasm,how to diagnose geniospasm ?,RETRIEVE_KNOWLEDGE
topic:dentatorubral-pallidoluysian atrophy,is dentatorubral-pallidoluysian atrophy inherited ?,RETRIEVE_KNOWLEDGE
topic:Gallbladder Diseases,what is (are) gallbladder diseases ?,RETRIEVE_KNOWLEDGE
topic:Wellesley Carmen French syndrome,what are the symptoms of wellesley carmen french syndrome ?,RETRIEVE_KNOWLEDGE
topic:Cataract microcornea syndrome,what are the symptoms of cataract microcornea syndrome ?,RETRIEVE_KNOWLEDGE
topic:Brooke-Spiegler syndrome,what is (are) brooke-spiegler syndrome ?,RETRIEVE_KNOWLEDGE
topic:What are the treatments for in,what are the treatments for infantile-onset ascending hereditary spastic paralysis ?,RETRIEVE_KNOWLEDGE
topic:Moyamoya Disease,what are the treatments for moyamoya disease ?,RETRIEVE_KNOWLEDGE
topic:N-acetylglutamate synthetase deficiency,what are the symptoms of n-acetylglutamate synthetase deficiency ?,RETRIEVE_KNOWLEDGE
topic:Myotonia,what is the outlook for myotonia ?,RETRIEVE_KNOWLEDGE
topic:Nail-patella syndrome,what are the symptoms of nail-patella syndrome ?,RETRIEVE_KNOWLEDGE
topic:congenital hyperinsulinism,what is (are) congenital hyperinsulinism ?,RETRIEVE_KNOWLEDGE
topic:fragile X syndrome,what are the treatments for fragile x syndrome ?,RETRIEVE_KNOWLEDGE
topic:Genital Warts,what is (are) genital warts ?,RETRIEVE_KNOWLEDGE
topic:What are the treatments for he,what are the treatments for hereditary sensory and autonomic neuropathy type v ?,RETRIEVE_KNOWLEDGE
topic:Short Bowel Syndrome,what causes short bowel syndrome ?,RETRIEVE_KNOWLEDGE
